layer,feature_idx,unc_effect,inc_effect,acc_selection,acc_delta_selection,ent_selection,ent_delta_selection,beneficial
29,10781,0.4946224032222269,0.23775012453414385,0.612590799031477,-1.5667283862697667,0.8322222912287465,0.009542993906837105,False
30,9478,1.4992898726882504,0.45676459172269746,0.5460760575416608,-8.218202535251384,0.7376308636230481,-0.08504843369886128,False
30,8867,2.840177831272753,0.38007365356124406,0.6288278023073636,0.05697194131889516,0.8052194126112433,-0.017459884710666063,True
30,18543,2.2536012774017986,0.3636693363048508,0.6276883634809857,-0.05697194131889516,0.8350179498213222,0.012338652499412794,False
30,15707,0.9368774082009554,0.2940728052249004,0.6278307933342828,-0.042728955989179696,0.8210700846363,-0.001609212685609318,False
30,18248,0.6522824906253751,0.28994286436677597,0.6275459336276884,-0.07121492664862172,0.8266593763186123,0.00398007899670294,False
30,29642,0.38690725886909866,0.258349670504959,0.6190001424298534,-0.9257940464321268,0.7758699066952489,-0.04680939062666045,False
30,28950,0.3718431608099946,0.25543316012403955,0.6284005127474719,0.014242985329726565,0.8120529631357956,-0.010626334186113806,True
30,25485,1.3793593657231304,0.2158393956731883,0.5620282011109529,-6.622988178322176,0.7335840919887544,-0.08909520533315496,False
31,29282,1.3213586038843714,0.5112973228924501,0.5291269049992878,-9.913117789488679,0.7392689087026892,-0.08341038861922012,False
31,2354,0.9895149689080946,0.5092123433988649,0.6286853724540664,0.042728955989179696,0.8239872479551851,0.0013079506332757118,False
31,28707,2.5090363051171414,0.5060317717956123,0.6288278023073636,0.05697194131889516,0.8181377166968113,-0.004541580625098018,True
31,23605,1.5551584930400792,0.40308245639570195,0.6275459336276884,-0.07121492664862172,0.755833573601555,-0.06684572372035436,False
31,32006,0.4337896586459381,0.3556673049646182,0.6279732231875801,-0.02848597065945313,0.8177729178629386,-0.0049063794589707665,False
31,1895,0.9638782326945491,0.3106296471602346,0.6279732231875801,-0.02848597065945313,0.8205661321602196,-0.0021131651616898006,False
31,19864,1.5743015917715417,0.31012062473517693,0.5640222190571144,-6.423586383706025,0.7912150285143197,-0.03146426880758968,False
31,16986,0.48822026646580075,0.3062823528615044,0.6284005127474719,0.014242985329726565,0.8195086796764031,-0.0031706176455063018,True
31,9926,0.9519545566127152,0.29976393984931377,0.6271186440677966,-0.11394388263780142,0.8218766006659263,-0.0008026966559830928,False
31,29457,1.1007099382849839,0.2599525390004154,0.6281156530408774,-0.014242985329726565,0.8163008275609626,-0.006378469760946803,False
31,20182,0.2621828863518451,0.24830961426202314,0.6281156530408774,-0.014242985329726565,0.823033221534644,0.00035392421273461316,False
31,12810,0.7401372739481683,0.24221341994667464,0.6281156530408774,-0.014242985329726565,0.822614448989072,-6.484833283737501e-05,False
31,20677,0.4184682624160976,0.15451539752377758,0.6281156530408774,-0.014242985329726565,0.8226382952774299,-4.100204447943234e-05,False
